mfcc,chroma,spec_contrast,tempo,filename
"[-161.60647583007812, 103.40328216552734, -2.742183208465576, 23.88797378540039, 5.129904747009277, -0.19540289044380188, -6.8307719230651855, -0.8736733794212341, -11.264754295349121, -8.52134895324707, -12.063763618469238, -4.538933753967285, -7.35322380065918]","[0.21517987549304962, 0.11565299332141876, 0.2189795821905136, 0.12407892942428589, 0.2767508029937744, 0.16826047003269196, 0.1798347383737564, 0.3183641731739044, 0.41112369298934937, 0.7808104157447815, 0.34037840366363525, 0.28531742095947266]","[19.70568876671609, 19.70338212253051, 21.390369770673882, 22.17141778050462, 21.821004303090984, 19.818550027188728, 47.725495102242306]",[135.99917763],000620.mp3
"[-117.21344757080078, 110.19398498535156, -23.290929794311523, 21.87103271484375, -9.071065902709961, 5.29826021194458, -16.939472198486328, -2.818161725997925, -18.929994583129883, -5.6888580322265625, -13.414289474487305, -11.593607902526855, -12.043353080749512]","[0.26198017597198486, 0.13933154940605164, 0.2630000710487366, 0.23452597856521606, 0.4126339554786682, 0.2196531891822815, 0.40633055567741394, 0.3859807252883911, 0.22153186798095703, 0.27108538150787354, 0.24589475989341736, 0.4665459394454956]","[26.696230215904617, 19.12404231420916, 23.256989144036655, 25.855938951248962, 23.51065885214934, 22.784443718752012, 52.38393462396569]",[99.38401442],000621.mp3
"[-123.42266082763672, 112.54698181152344, -24.58646011352539, 18.330198287963867, 0.17598949372768402, 0.47313764691352844, -9.42277717590332, -10.417802810668945, -12.304462432861328, -2.0642783641815186, -8.625225067138672, -5.848972797393799, -8.887990951538086]","[0.5783005952835083, 0.2793993055820465, 0.21655894815921783, 0.1275423914194107, 0.2941190004348755, 0.3572119474411011, 0.27945131063461304, 0.38597291707992554, 0.17291034758090973, 0.19688698649406433, 0.1619681417942047, 0.21509620547294617]","[24.016643484363794, 19.446757341801064, 23.927941002145612, 25.080194160916385, 24.275303206568783, 24.4025177127279, 50.60952243297844]",[92.28515625],000625.mp3
"[-96.77127075195312, 144.79200744628906, -41.91682052612305, 58.83659744262695, -37.41310119628906, 20.735103607177734, -17.522315979003906, 8.56498908996582, -11.595974922180176, -6.899570465087891, -11.28664779663086, -9.748167991638184, -7.118820667266846]","[0.40932193398475647, 0.24882462620735168, 0.37706518173217773, 0.6015273332595825, 0.45680129528045654, 0.5746865272521973, 0.30798977613449097, 0.24322013556957245, 0.2623230218887329, 0.24068734049797058, 0.38395190238952637, 0.3370762765407562]","[19.116819443590344, 14.52345895953134, 15.413417970257205, 18.115151145394485, 16.819394646402447, 16.84089936632424, 58.85943932158929]",[129.19921875],000666.mp3
"[-84.8764419555664, 125.98757934570312, -36.076934814453125, 59.8353157043457, -48.23793411254883, 23.747896194458008, -18.876840591430664, 7.329677104949951, -13.779606819152832, -2.093052864074707, -6.33951473236084, -0.9611416459083557, -7.272879123687744]","[0.37073448300361633, 0.4357541501522064, 0.48357129096984863, 0.6555880308151245, 0.4623467028141022, 0.539154052734375, 0.704933226108551, 0.5277347564697266, 0.3056418299674988, 0.24066296219825745, 0.3199375569820404, 0.4804741442203522]","[23.76166607913028, 12.775342164617827, 15.497237325303585, 15.862997370125129, 14.827730229222043, 15.79598695759076, 59.71457829310496]",[117.45383523],000667.mp3
"[-102.52069854736328, 102.1276626586914, 28.49225425720215, 24.23061180114746, 8.751779556274414, 13.169269561767578, 2.2658302783966064, 24.054954528808594, -9.87429141998291, 0.3182333707809448, -6.808640003204346, -3.350510358810425, 2.4901516437530518]","[0.34854984283447266, 0.21690963208675385, 0.2581195831298828, 0.27637845277786255, 0.2537962794303894, 0.3134613633155823, 0.3300662934780121, 0.40463992953300476, 0.42943426966667175, 0.42608627676963806, 0.4564361274242401, 0.40067580342292786]","[20.95903392566574, 17.293338028867257, 21.937365615758182, 21.93726189788301, 18.37132917983694, 18.6068192223555, 46.79622999789869]",[95.703125],000676.mp3
"[-12.373920440673828, 67.11760711669922, -47.262451171875, 59.98280334472656, 15.456128120422363, 24.901498794555664, 11.001297950744629, 9.881911277770996, 9.98884105682373, 1.4193952083587646, -1.4799472093582153, 7.464789867401123, -2.693774938583374]","[0.4450157880783081, 0.5113017559051514, 0.472566694021225, 0.43524032831192017, 0.5205637216567993, 0.5576635003089905, 0.6139339804649353, 0.6262097358703613, 0.5510372519493103, 0.49881306290626526, 0.5248330235481262, 0.48804622888565063]","[20.609162888981057, 13.877337327023707, 14.603473763880928, 16.49477143159187, 16.91169031266082, 18.963458772132643, 47.83480557386872]",[135.99917763],000690.mp3
"[-65.66793060302734, 62.11887741088867, 5.097812652587891, 15.951894760131836, 10.618124008178711, 10.171562194824219, -6.486700057983398, 8.938889503479004, -5.436907768249512, 4.300424575805664, 0.12417269498109818, 5.659374713897705, -1.4015820026397705]","[0.43205684423446655, 0.4315451681613922, 0.38945427536964417, 0.3751210868358612, 0.3937309980392456, 0.43993139266967773, 0.4894225299358368, 0.4952373206615448, 0.4492478668689728, 0.4247037470340729, 0.39703232049942017, 0.384682297706604]","[18.71674751984423, 14.254799650990977, 17.10633102328187, 15.351843349898443, 16.495165896650075, 15.376751503601033, 47.17196634111215]",[112.34714674],000694.mp3
"[-37.280052185058594, 70.34362030029297, -11.415428161621094, 17.624418258666992, -5.322255611419678, 12.034174919128418, 11.399487495422363, 6.493824481964111, 3.369283676147461, 7.570011615753174, 3.002126932144165, 11.435120582580566, 3.7734806537628174]","[0.48517733812332153, 0.4416922330856323, 0.4525581896305084, 0.5120216012001038, 0.6088895201683044, 0.5069923996925354, 0.413318395614624, 0.37857189774513245, 0.38755160570144653, 0.4004078209400177, 0.38494500517845154, 0.4532076418399811]","[17.419180677152895, 13.079849108049096, 16.366851403479657, 16.95965731292352, 17.187565429931436, 17.998267955782442, 47.28744112940673]",[198.76802885],000695.mp3
"[-21.781604766845703, 50.94411849975586, 0.8351243138313293, 22.67267417907715, 20.425363540649414, 15.077004432678223, 0.238601416349411, 6.401050090789795, 1.9612212181091309, 7.856196403503418, 0.5717266798019409, 5.316493988037109, -4.38561487197876]","[0.46600350737571716, 0.3997742235660553, 0.3887166678905487, 0.3229166865348816, 0.32770901918411255, 0.354503333568573, 0.3871978521347046, 0.4659363329410553, 0.38763201236724854, 0.3666932284832001, 0.3461620509624481, 0.45286425948143005]","[23.928376195212056, 16.797653304321088, 19.742282462836826, 18.97082630286285, 20.399020946780784, 17.811572555508334, 47.520649903733144]",[135.99917763],000704.mp3
