filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,danceability,energy,valence
The Day That Never Comes_1.mp3,0.4116409,0.37248746,2981.9197554964503,2679.69148166768,6137.240034034955,0.1436516915022304,129.19921875,32.688217,60.870647,-2.0292783,38.125824,5.3035197,6.408661,-1.7114421,6.1958213,-1.994367,4.642979,-2.4366689,5.468574,-1.3173509,0.40366210937499997,0.8385535804397161,0.633153410758105
The Dogs Of War.mp3,0.42796206,0.104670465,2376.3963100836413,2202.202996072586,4767.779038696977,0.133011898330828,129.19921875,-100.87492,98.20752,-18.50347,27.344769,-5.7941604,10.664077,-1.6302094,6.8297496,-4.9399514,6.3616815,-0.20816219,1.5340071,1.5330615,0.40366210937499997,0.7901117048066912,0.5129150055174374
The Ecstacy Of Gold_1.mp3,0.3552709,0.10702481,2404.2146575895263,2346.818611979258,4864.855415499364,0.1302994912007085,117.45383522727272,-124.86313,82.66629,-25.103714,10.361696,-8.653608,2.0556426,-2.9269128,6.1694317,-2.7903428,3.6302357,-4.6198134,-4.0349555,-3.0891109,0.33514737215909085,0.7923371726071621,0.5337737922563599
The End Of The Line_1.mp3,0.46874028,0.3171597,3015.5237481435447,2726.623344713563,6274.386177687426,0.1443357502811163,107.666015625,20.921457,57.16328,-3.553394,40.737778,13.1299095,11.165454,-1.3063374,10.138728,-1.0563937,5.536337,-4.69189,4.431786,-1.5680331,0.27805175781249997,0.8412418998514836,0.6423802929035498
The Fairy Feller's Master-Stroke.mp3,0.3642622,0.11837444,2419.507516853625,2586.991153620794,5342.860904816658,0.107440930907078,161.4990234375,-111.36148,88.72106,6.487126,27.301722,3.1027608,8.961267,4.4675627,1.539562,-3.4854522,5.469354,-7.259309,0.26853672,-8.154102,0.5920776367187499,0.79356060134829,0.5653246458879617
The Final Cut.mp3,0.30554873,0.117209055,1694.0540744888483,2182.0906955108608,3496.3083214018925,0.069450037858769,117.45383522727272,-176.92955,118.939224,12.175921,10.001837,3.582784,3.0684419,-2.7713966,2.9662886,-3.516258,-0.55635244,-1.8641318,-3.327017,-6.061058,0.42679725858278383,0.7355243259591079,0.44216674438774245
The Fletcher Memorial Home.mp3,0.3276676,0.12124272,1611.528398855606,1981.4023590920008,3252.4731014238378,0.070255382678867,123.046875,-167.51317,127.287544,4.775291,13.772774,5.902782,-1.1030786,-3.536192,4.1039224,-2.578705,1.8555591,-2.962243,0.19170795,-1.2211496,0.45700728946339897,0.7289222719084485,0.4088281347720607
The Four Horsemen_1.mp3,0.40300468,0.18021423,1909.587862167252,2424.8378422173814,4485.626272995382,0.0615893073965692,151.99908088235293,-79.6602,107.65465,9.488574,24.184614,3.0420585,17.211433,1.3882364,10.501071,-0.036107417,7.4659657,1.2499691,5.969992,-1.1738136,0.6518933829573511,0.7527670289733801,0.4940635164938979
The Four Horsemen_1_1.mp3,0.5061856,0.19694293,3059.844143642755,2414.182639855861,5654.929183633355,0.1945909093195107,103.359375,-11.27318,53.389385,-23.338661,46.9555,2.1463156,4.6188025,3.0589814,11.232074,0.30148208,10.55092,-2.481508,6.5991387,-8.159178,0.2529296875,0.8447875314914204,0.6077572443462582
The Four Horsemen_1_2.mp3,0.5298816,0.18406475,2774.002785943884,2472.6189203778013,5460.246338399155,0.1438079354348135,112.34714673913044,-41.699577,64.318436,-16.566895,42.47616,-1.0409007,5.2429,0.06842274,15.648894,3.6859195,6.6006517,1.2379346,0.5539738,-1.5692967,0.3053583559782609,0.8219202228755107,0.5864776436416136
